Cluster,Age,k,N,Nsys,Z,bin_frac,Mc,Mdot,Lw,SNe,WR,WR2
IC_1396,12.0,8537.3,1261,126,0.0142,0.3,708.5,1.61e-08,2.28e+27,0,0,0
IC_1442,19.5,14684.6,2170,217,0.0118,0.55102,1540.5,1.91e-10,7.80e+24,10,10,0
IC_1590,6.2,7558.5,1117,112,0.0106,0.78102,729.5,1.64e-07,3.01e+28,0,0,0
IC_1805,7.6,11971.2,1769,177,0.0142,0.3,688.0,1.66e-10,7.35e+24,0,0,0
IC_1848,15.8,26207.5,3872,387,0.0142,0.3,2673.5,8.55e-08,2.41e+32,10,10,5
IC_2391,28.8,2372.1,350,35,0.0189,0.22491,210.5,3.76e-11,1.41e+24,0,0,0
IC_2395,20.4,5626.5,831,83,0.0131,0.40443,903.0,2.72e-09,1.51e+26,0,0,0
IC_2581,10.2,7435.0,1098,110,0.0156,0.52074,708.0,1.08e-05,4.61e+27,0,0,0
IC_348,11.7,1514.8,224,22,0.0142,0.3,75.0,0.00e+00,0.00e+00,0,0,0
IC_4996,11.2,6037.4,892,89,0.0169,0.74627,410.0,8.50e-11,3.39e+24,0,0,0
IC_5146,1.0,1178.2,174,17,0.0142,0.3,107.0,1.84e-11,7.15e+23,0,0,0
Juchert_18,24.5,3129.2,462,46,0.0142,0.3,256.5,3.43e-12,2.79e+28,10,0,0
Juchert_19,8.1,3027.7,447,45,0.0142,0.3,191.0,2.28e-11,9.10e+23,0,0,0
Juchert_3,1.0,27306.8,4034,403,0.0142,0.3,2180.5,4.68e-08,1.07e+28,0,0,0
Juchert_9,11.5,4635.2,685,68,0.0142,0.3,318.0,3.02e-12,4.35e+22,0,0,0
King_10,17.4,26419.9,3903,390,0.0142,0.3,2319.5,3.17e-06,5.85e+27,20,10,0
King_12,18.6,9700.9,1433,143,0.0113,0.69767,1048.0,9.05e-07,1.80e+28,5,5,0
Koposov_53,16.2,6895.8,1019,102,0.0142,0.3,718.5,1.69e-07,5.25e+28,10,5,0
Kronberger_1,6.0,4415.6,652,65,0.0142,0.3,380.5,2.72e-07,4.61e+28,0,0,0
LDN_988e,4.7,276.7,41,4,0.0142,0.3,7.5,0.00e+00,0.00e+00,0,0,0
LP_403,26.3,14433.7,2132,213,0.0142,0.3,1116.0,2.24e-08,2.22e+32,10,5,0
L_1641S,4.2,1746.1,258,26,0.0142,0.3,203.0,8.00e-10,7.35e+25,0,0,0
Lynga_6,3.1,6122.4,905,90,0.0142,0.3,550.0,3.64e-09,3.64e+26,0,0,0
Mamajek_1,9.8,462.4,68,7,0.0142,0.3,17.0,0.00e+00,0.00e+00,0,0,0
Markarian_38,15.8,1031.2,152,15,0.0153,0.6,135.0,1.45e-11,5.10e+23,0,0,0
Markarian_50,11.5,4256.0,629,63,0.0142,0.3,429.0,5.10e-08,6.65e+27,0,0,0
Mayer_1,28.8,3422.2,506,51,0.0142,0.3,249.5,1.20e-10,4.61e+24,0,0,0
Muzzio_1,7.8,3688.3,545,54,0.0142,0.3,458.5,3.63e-10,1.03e+30,10,5,0
NGC_1444,9.8,1934.0,286,29,0.0142,0.3,149.5,2.12e-11,8.15e+23,0,0,0
NGC_1502,10.5,12214.5,1805,180,0.0096,0.74528,818.0,2.71e-10,1.18e+25,5,0,0
NGC_1579,3.8,3289.7,486,49,0.0142,0.3,242.0,1.66e-09,1.49e+26,0,0,0
NGC_1624,4.5,4300.8,635,64,0.0142,0.3,367.0,4.05e-07,7.75e+28,0,0,0
NGC_1893,4.4,15548.1,2297,230,0.0142,0.3,1108.0,3.72e-09,5.80e+26,0,0,0
NGC_1960,28.2,13142.7,1942,194,0.0134,0.53429,908.0,2.88e-11,9.50e+23,0,0,0
NGC_1980,13.2,1908.9,282,28,0.0142,0.3,104.0,5.95e-13,8.55e+21,0,0,0
NGC_2129,16.6,6646.3,982,98,0.0118,0.71717,346.5,2.83e-12,5.85e+22,0,0,0
NGC_2169,12.3,2815.6,416,42,0.0094,0.3211,178.0,3.11e-12,6.40e+22,0,0,0
NGC_2183,17.4,1123.2,166,17,0.0108,0.56805,142.5,7.55e-09,8.95e+26,0,0,0
NGC_2232,17.8,2561.8,378,38,0.0131,0.25448,247.5,3.56e-11,1.32e+24,0,0,0
NGC_2244,12.6,29244.9,4321,432,0.0142,0.3,2583.5,4.10e-06,1.13e+34,10,0,0
NGC_2264,27.5,4316.0,638,64,0.0129,0.3494,394.5,1.10e-08,7.30e+26,0,0,0
NGC_2362,5.8,7868.7,1163,116,0.0142,0.3,613.5,1.56e-09,9.95e+25,0,0,0
NGC_2367,14.1,2751.6,407,41,0.0142,0.3,207.0,6.25e-09,6.50e+26,0,0,0
NGC_2414,17.8,17786.3,2628,263,0.0085,0.50685,1295.0,2.91e-08,3.10e+27,0,0,0
NGC_2439,11.7,37625.5,5559,556,0.0094,0.5491,3081.0,1.03e-07,1.16e+28,5,0,0
NGC_2453,25.1,10585.0,1564,156,0.01,0.59829,762.0,8.90e-09,9.00e+26,5,5,0
NGC_2571,26.9,6798.4,1004,100,0.013,0.43868,470.5,5.05e-09,5.50e+26,5,5,0
NGC_2645,25.7,2887.3,427,43,0.0142,0.75,173.0,5.15e-11,2.05e+24,0,0,0
NGC_3105,21.9,13220.9,1953,195,0.0142,0.3,1345.5,2.62e-08,2.51e+27,0,0,0
NGC_3293,10.2,28173.4,4162,416,0.0148,0.6125,2385.0,1.39e-08,1.77e+27,0,0,0
NGC_3324,10.7,6112.1,903,90,0.0142,0.3,476.0,4.46e-09,4.72e+26,0,0,0
NGC_3572,4.8,7249.3,1071,107,0.0142,0.3,512.0,1.16e-11,3.45e+23,0,0,0
NGC_3590,26.3,13372.3,1976,198,0.0129,0.59606,964.0,9.35e-08,1.33e+28,10,10,0
NGC_3603,1.0,59700.4,8820,882,0.0142,0.3,5172.0,1.23e-04,2.72e+31,0,0,0
NGC_366,25.7,15085.4,2229,223,0.0142,0.3,1768.0,4.05e-10,3.53e+30,40,10,0
NGC_3766,22.9,35431.2,5235,524,0.0142,0.3,2893.5,1.76e-08,1.67e+32,25,10,0
NGC_4103,20.9,21495.8,3176,318,0.0142,0.3,1564.0,1.89e-08,5.35e+31,25,15,5
NGC_4463,28.8,4524.3,668,67,0.0193,0.5414,565.0,5.35e-11,1.52e+29,20,0,0
NGC_457,20.9,42582.2,6291,629,0.0142,0.3,3143.0,9.30e-08,1.01e+33,15,0,0
NGC_4755,12.0,45732.7,6757,676,0.0142,0.3,3466.0,7.20e-08,2.04e+32,15,15,5
NGC_5606,18.2,4411.5,652,65,0.0142,0.3,399.0,5.50e-07,2.50e+26,0,0,0
NGC_581,27.5,10734.0,1586,159,0.0119,0.69697,1372.0,2.90e-09,1.89e+26,5,5,0
NGC_6178,16.6,2520.7,372,37,0.0151,0.43284,156.0,6.10e-12,2.16e+23,0,0,0
NGC_6193,5.1,22626.8,3343,334,0.0142,0.3,2620.0,2.57e-06,4.02e+29,0,0,0
NGC_6231,13.8,44922.7,6637,664,0.0142,0.3,4713.5,1.24e-05,8.15e+33,30,0,0
NGC_6249,20.4,4874.4,720,72,0.0169,0.63736,504.5,2.08e-08,2.48e+27,5,0,0
NGC_6250,24.0,4301.0,635,64,0.0142,0.3,420.0,5.15e-08,3.50e+27,5,0,0
NGC_6318,9.8,30181.0,4459,446,0.0142,0.3,2925.0,4.95e-06,1.20e+34,10,10,5
NGC_6322,14.8,4593.8,679,68,0.0142,0.3,358.0,9.10e-12,2.61e+23,5,0,0
NGC_6357,1.0,17800.2,2630,263,0.0142,0.3,1602.5,8.00e-07,2.13e+29,0,0,0
NGC_6383,4.0,9534.7,1409,141,0.0142,0.3,682.5,1.56e-09,1.77e+26,0,0,0
NGC_6396,15.1,12714.7,1878,188,0.0142,0.3,971.0,3.25e-09,9.20e+30,10,10,0
NGC_6451,25.7,24046.7,3553,355,0.0142,0.3,1968.0,7.15e-08,2.02e+32,30,15,5
NGC_6531,12.9,9359.9,1383,138,0.0142,0.3,1089.5,1.06e-06,2.69e+33,15,0,0
NGC_654,9.8,34868.0,5151,515,0.0142,0.3,3107.0,2.48e-07,2.88e+28,0,0,0
NGC_6561,18.6,4278.3,632,63,0.0142,0.3,253.5,8.40e-12,2.87e+23,0,0,0
